date,OT,1,2,3,4,5,6,7
2012/5/23,7.35,4,24,13.65,65,7.5,24.8,0.3
2012/5/24,7.35,4,23.5,13.65,65,9.5,27,0.3
2012/5/25,7.35,4,24,13.65,65,9.5,24.6,0.3
2012/5/26,7.35,4,24,13.65,65,10,24.6,0.3
2012/5/27,7.35,4,24,13.65,65,9.5,24.6,0.3
2012/5/28,7.35,4,24,13.65,65,9.5,24.6,0.3
2012/5/29,7.35,4,24,13.65,65,9.6,24.9,0.3
2012/5/30,7.35,4,24,13.65,65,9.5,24.9,0.3
2012/5/31,7.35,4,24,13.65,65,9.5,25,0.3
2012/6/1,7.35,4,24,13.65,65,9.5,25,0.3
2012/6/2,7.35,4,24,13.65,65,9.6,25,0.4
2012/6/3,7.35,4,24,13.65,65,9.5,25,0.3
2012/6/4,7.35,4,24,13.65,65,9.5,25,0.3
2012/6/5,7.35,4,24,13.65,65,9.5,25,0.2
2012/6/6,7.35,4,24,13.65,65,9.6,25,0.3
2012/6/7,7.35,4,24,13.65,65,9.5,25,0.3
2012/6/8,7.35,4,24,13.65,65,9.8,25,0.3
2012/6/9,7.35,4,24,13.65,65,9.8,25,0.3
2012/6/10,7.35,4,24,13.65,65,9.8,25,0.3
2012/6/11,7.35,4,24,13.65,65,9.8,25,0.3
2012/6/12,7.35,4,24,13.65,65,9.8,25,0.3
2012/6/13,7.35,4,24,13.65,65,9.8,25,0.3
2012/6/14,7.35,4,24,13.65,65,9.8,25,0.3
2012/6/15,7.35,4,24,13.65,65,9.6,25,0.3
2012/6/16,7.35,4,24,13.65,65,9.7,25,0.3
2012/6/17,7.35,4,24,13.65,65,9.7,25,0.3
2012/6/18,7.35,4,24,13.65,65,9.7,25,0.3
2012/6/19,7.43,4,24,13.57,64.6,9.7,25,0.3
2012/6/20,7.33,4,24,13.67,65.1,9.7,25,0.3
2012/6/21,7.14,4,24,13.86,66,9,25.4,0.3
2012/6/22,7.24,4,24,13.76,65.5,7.7,24.8,0.3
2012/6/23,6.82,4,24,14.18,67.5,7.7,25,0.2
2012/6/24,6.82,4,24,14.18,67.5,7.5,25,0.2
2012/6/25,7.14,4,24,13.86,66,7.7,25,0.2
2012/6/26,7.14,4,24,13.86,66,7.5,25,0.2
2012/6/27,6.72,4,24,14.28,68,7.7,25,0.3
2012/6/28,6.61,4,24,14.39,68.5,7.5,25,0.3
2012/6/29,7.33,4,24,13.67,65.1,7.5,25,0.4
2012/6/30,6.93,4,24,14.07,67,7.5,25.1,0.3
2012/7/1,6.82,4,24,14.18,67.5,7.6,25.1,0.3
2012/7/2,6.61,4,24,14.39,68.5,7.5,25.1,0.3
2012/7/3,7.14,4,24,13.86,66,7.5,25.1,0.3
2012/7/4,6.32,4,24,14.68,69.9,7.5,25.1,0.3
2012/7/5,6.22,4,24,14.78,70.4,7.5,25,0.3
2012/7/6,6.22,4,24,14.78,70.4,7.5,25,0.3
2012/7/7,6.11,4,24,14.89,70.9,7.4,25,0.3
2012/7/8,5.92,4,24,15.08,71.8,7.5,25,0.3
